#Calibrated-RSSI Raw-RSSI
-89.5307231593 -90.34191667
-89.1743870214 -90.07766667
-88.8180508836 -89.81291667
-88.4617147458 -89.54633333
-88.1053786079 -89.2605
-87.7490424701 -88.94658333
-87.3927063323 -88.65933333
-87.0363701944 -88.33291667
-86.6800340566 -88.03491667
-86.3236979187 -87.64533333
-85.9673617809 -87.21675
-85.6110256431 -86.80766667
-85.2546895052 -86.40008333
-84.8983533674 -85.98933333
-84.5420172296 -85.60991667
-84.1856810917 -85.2365
-83.8293449539 -84.86016667
-83.4730088161 -84.54166667
-83.1166726782 -84.21416667
-82.7603365404 -83.87975
-82.4040004025 -83.53491667
-82.0476642647 -83.19775
-81.6913281269 -82.86666667
-81.334991989 -82.54375
-80.9786558512 -82.19675
-80.6223197134 -81.87633333
-80.2659835755 -81.53608333
-79.9096474377 -81.18583333
-79.5533112999 -80.8495
-79.196975162 -80.53641667
-78.8406390242 -80.18708333
-78.4843028863 -79.86825
-78.1279667485 -79.5505
-77.7716306107 -79.20333333
-77.4152944728 -78.86033333
-77.058958335 -78.5665
-76.7026221972 -78.22808333
-76.3462860593 -77.88641667
-75.9899499215 -77.58516667
-75.6336137837 -77.23975
-75.2772776458 -76.89125
-74.920941508 -76.59541667
-74.5646053701 -76.27575
-74.2082692323 -75.93458333
-73.8519330945 -75.64191667
-73.4955969566 -75.29975
-73.1392608188 -74.94866667
-72.782924681 -74.60441667
-72.4265885431 -74.18883333
-72.0702524053 -73.63308333
-71.7139162675 -73.11683333
-71.3575801296 -72.61683333
-71.0012439918 -72.16133333
-70.6449078539 -71.72725
-70.2885717161 -71.29466667
-69.9322355783 -70.8835
-69.5758994404 -70.50516667
-69.2195633026 -70.13691667
-68.8632271648 -69.78075
-68.5068910269 -69.40166667
-68.1505548891 -69.01233333
-67.7942187512 -68.65475
-67.4378826134 -68.29791667
-67.0815464756 -67.93583333
-66.7252103377 -67.57858333
-66.3688741999 -67.21225
-66.0125380621 -66.8545
-65.6562019242 -66.50841667
-65.2998657864 -66.14683333
-64.9435296486 -65.82391667
-64.5871935107 -65.45791667
-64.2308573729 -65.09933333
-63.874521235 -64.76075
-63.5181850972 -64.40633333
-63.1618489594 -64.07208333
-62.8055128215 -63.73741667
-62.4491766837 -63.35891667
-62.0928405459 -63.02433333
-61.736504408 -62.69509091
-61.3801682702 -62.34927273
-61.0238321324 -62.01466667
-60.6674959945 -61.69141667
-60.3111598567 -61.31058333
-59.9548237188 -60.88316667
-59.598487581 -60.20825
-59.2421514432 -59.144
-58.8858153053 -57.97358333
-58.5294791675 -57.21825
-58.1731430297 -56.91316667
-57.8168068918 -56.96258333
-57.460470754 -57.24641667
-57.1041346162 -57.61491667
-56.7477984783 -57.95033333
-56.3914623405 -58.19166667
-56.0351262026 -58.31008333
-55.6787900648 -58.256
-55.322453927 -58.04833333
-54.9661177891 -57.75508333
-54.6097816513 -57.37725
-54.2534455135 -57.02341667
-53.8971093756 -56.675
-53.5407732378 -56.29925
-53.1844371 -55.96125
-52.8281009621 -55.62408333
-52.4717648243 -55.24791667
-52.1154286864 -54.92683333
-51.7590925486 -54.55808333
-51.4027564108 -54.19941667
-51.0464202729 -53.88891667
-50.6900841351 -53.52208333
-50.3337479973 -53.14383333
-49.9774118594 -52.79825
-49.6210757216 -52.44058333
-49.2647395837 -52.07291667
-48.9084034459 -51.59058333
-48.5520673081 -50.71741667
-48.1957311702 -49.50383333
-47.8393950324 -48.45658333
-47.4830588946 -47.83216667
-47.1267227567 -47.42091667
-46.7703866189 -47.05125
-46.4140504811 -46.6675
-46.0577143432 -46.248
-45.7013782054 -45.87066667
-45.3450420675 -45.49608333
-44.9887059297 -45.13366667
-44.6323697919 -44.79058333
